card|cards|a card|
Curse|Curses|a Curse|
Copper|Coppers|a Copper|
Silver|Silvers|a Silver|
Gold|Golds|a Gold|
Estate|Estates|an Estate|
Duchy|Duchies|a Duchy|
Province|Provinces|a Province|
Artisan|Artisans|an Artisan|
Bandit|Bandits|a Bandit|
Bureaucrat|Bureaucrats|a Bureaucrat|
Cellar|Cellars|a Cellar|
Chapel|Chapels|a Chapel|
Council Room|Council Rooms|a Council Room|
Festival|Festivals|a Festival|
Gardens|Gardens|a Gardens|
Harbinger|Harbingers|a Harbinger|
Laboratory|Laboratories|a Laboratory|
Library|Libraries|a Library|
Market|Markets|a Market|
Merchant|Merchants|a Merchant|
Militia|Militias|a Militia|
Mine|Mines|a Mine|
Moat|Moats|a Moat|
Moneylender|Moneylenders|a Moneylender|
Poacher|Poachers|a Poacher|
Remodel|Remodels|a Remodel|
Sentry|Sentries|a Sentry|
Smithy|Smithies|a Smithy|
Throne Room|Throne Rooms|a Throne Room|
Vassal|Vassals|a Vassal|
Village|Villages|a Village|
Witch|Witches|a Witch|
Workshop|Workshops|a Workshop|
Courtyard|Courtyards|a Courtyard|
Conspirator|Conspirators|a Conspirator|
Courtier|Courtiers|a Courtier|
Baron|Barons|a Baron|
Bridge|Bridges|a Bridge|
Diplomat|Diplomats|a Diplomat|
Duke|Dukes|a Duke|
Harem|Harems|a Harem|
Nobles|Nobles|a Nobles|
Ironworks|Ironworks|an Ironworks|
Lurker|Lurkers|a Lurker|
Masquerade|Masquerades|a Masquerade|
Mill|Mills|a Mill|
Mining Village|Mining Villages|a Mining Village|
Minion|Minions|a Minion|
Patrol|Patrols|a Patrol|
Pawn|Pawns|a Pawn|
Replace|Replaces|a Replace|
Secret Passage|Secret Passages|a Secret Passage|
Shanty Town|Shanty Towns|a Shanty Town|
Steward|Stewards|a Steward|
Swindler|Swindlers|a Swindler|
Torturer|Torturers|a Torturer|
Trading Post|Trading Posts|a Trading Post|
Upgrade|Upgrades|an Upgrade|
Wishing Well|Wishing Wells|a Wishing Well|
Ambassador|Ambassadors|an Ambassador|
Bazaar|Bazaars|a Bazaar|
Caravan|Caravans|a Caravan|
Cutpurse|Cutpurses|a Cutpurse|
Embargo|Embargos|an Embargo|
Explorer|Explorers|an Explorer|
Fishing Village|Fishing Villages|a Fishing Village|
Ghost Ship|Ghost Ships|a Ghost Ship|
Haven|Havens|a Haven|
Island|Islands|an Island|
Lighthouse|Lighthouses|a Lighthouse|
Lookout|Lookouts|a Lookout|
Merchant Ship|Merchant Ships|a Merchant Ship|
Native Village|Native Villages|a Native Village|
Navigator|Navigators|a Navigator|
Outpost|Outposts|an Outpost|
Pearl Diver|Pearl Divers|a Pearl Diver|
Pirate Ship|Pirate Ships|a Pirate Ship|
Salvager|Salvagers|a Salvager|
Sea Hag|Sea Hags|a Sea Hag|
Smugglers|Smugglers|a Smugglers|
Tactician|Tacticians|a Tactician|
Treasure Map|Treasure Maps|a Treasure Map|
Treasury|Treasuries|a Treasury|
Warehouse|Warehouses|a Warehouse|
Wharf|Wharves|a Wharf|
Alchemist|Alchemists|an Alchemist|
Apothecary|Apothecaries|an Apothecary|
Apprentice|Apprentices|an Apprentice|
Familiar|Familiars|a Familiar|
Golem|Golems|a Golem|
Herbalist|Herbalists|a Herbalist|
Philosopher's Stone|Philosopher's Stones|a Philosopher's Stone|
Possession|Possessions|a Possession|
Potion|Potions|a Potion|
Scrying Pool|Scrying Pools|a Scrying Pool|
Transmute|Transmutes|a Transmute|
University|Universities|a University|
Vineyard|Vineyards|a Vineyard|
Bank|Banks|a Bank|
Bishop|Bishops|a Bishop|
Colony|Colonies|a Colony|
Contraband|Contrabands|a Contraband|
Counting House|Counting Houses|a Counting House|
City|Cities|a City|
Expand|Expands|an Expand|
Forge|Forges|a Forge|
Grand Market|Grand Markets|a Grand Market|
Goons|Goons|a Goons|
Hoard|Hoards|a Hoard|
King's Court|King's Courts|a King's Court|
Loan|Loans|a Loan|
Mint|Mints|a Mint|
Monument|Monuments|a Monument|
Mountebank|Mountebanks|a Mountebank|
Peddler|Peddlers|a Peddler|
Platinum|Platina|a Platinum|
Quarry|Quarries|a Quarry|
Rabble|Rabbles|a Rabble|
Royal Seal|Royal Seals|a Royal Seal|
Talisman|Talismans|a Talisman|
Trade Route|Trade Routes|a Trade Route|
Vault|Vaults|a Vault|
Venture|Ventures|a Venture|
Watchtower|Watchtowers|a Watchtower|
Worker's Village|Worker's Villages|a Worker's Village|
Prize|Prize|Prize|
Bag of Gold|Bags of Gold|a Bag of Gold|
Diadem|Diadems|a Diadem|
Fairgrounds|Fairgrounds|a Fairgrounds|
Farming Village|Farming Villages|a Farming Village|
Followers|Followers|a Followers|
Fortune Teller|Fortune Tellers|a Fortune Teller|
Hamlet|Hamlets|a Hamlet|
Harvest|Harvests|a Harvest|
Horse Traders|Horse Traders|a Horse Traders|
Horn of Plenty|Horns of Plenty|a Horn of Plenty|
Hunting Party|Hunting Parties|a Hunting Party|
Jester|Jesters|a Jester|
Menagerie|Menageries|a Menagerie|
Princess|Princesses|a Princess|
Remake|Remakes|a Remake|
Tournament|Tournaments|a Tournament|
Trusty Steed|Trusty Steeds|a Trusty Steed|
Young Witch|Young Witches|a Young Witch|
Border Village|Border Villages|a Border Village|
Cache|Caches|a Cache|
Cartographer|Cartographers|a Cartographer|
Crossroads|Crossroads|a Crossroads|
Develop|Develops|a Develop|
Duchess|Duchesses|a Duchess|
Embassy|Embassies|an Embassy|
Farmland|Farmlands|a Farmland|
